Function,N,d,DE_Mean(std),CEM_Mean(std),p-value,Significant,Winner
Sphere,8,2,1.7604e-05 (3.5208e-05),1.1191e-09 (1.3239e-09),1.679e-01,No,Tie
Sphere,16,2,2.7551e-23 (6.1902e-23),1.0897e-09 (1.3193e-09),3.511e-02,Yes,DE
Sphere,32,2,7.2151e-12 (7.4977e-12),2.6815e-08 (1.9269e-08),2.398e-03,Yes,DE
Sphere,64,2,7.7963e-07 (1.2222e-06),2.6536e-05 (2.3473e-05),9.348e-03,Yes,DE
Sphere,128,2,3.9121e-04 (2.3345e-04),1.7907e-03 (1.3420e-03),1.223e-02,Yes,DE
Sphere,8,10,2.2113e-01 (6.0556e-01),7.1481e+00 (3.8711e+00),4.192e-04,Yes,DE
Sphere,16,10,2.1936e-13 (3.0004e-13),2.7769e+00 (2.0095e+00),2.500e-03,Yes,DE
Sphere,32,10,3.7755e-04 (4.5919e-04),1.4198e-01 (2.3690e-01),1.065e-01,No,Tie
Sphere,64,10,2.1035e-01 (9.4896e-02),1.5176e-06 (3.7935e-07),9.373e-05,Yes,CEM
Sphere,128,10,2.2730e+00 (4.0797e-01),4.9917e-05 (1.5928e-05),4.393e-08,Yes,CEM
Rastrigin,8,2,2.8370e-01 (4.0004e-01),2.1895e+00 (2.0597e+00),2.198e-02,Yes,DE
Rastrigin,16,2,7.1054e-16 (2.1316e-15),5.5627e-01 (4.9967e-01),8.662e-03,Yes,DE
Rastrigin,32,2,9.3576e-03 (1.9727e-02),2.0126e-02 (5.4538e-02),5.884e-01,No,Tie
Rastrigin,64,2,3.3000e-01 (3.3444e-01),1.9461e-01 (1.9331e-01),3.103e-01,No,Tie
Rastrigin,128,2,6.7171e-01 (4.6552e-01),4.7703e-01 (4.0380e-01),3.561e-01,No,Tie
Rastrigin,8,10,2.0925e+01 (1.2256e+01),3.1219e+01 (1.1725e+01),8.537e-02,No,Tie
Rastrigin,16,10,1.0157e+01 (4.9155e+00),1.6466e+01 (6.6838e+00),3.610e-02,Yes,DE
Rastrigin,32,10,4.4595e+01 (3.9514e+00),1.0728e+01 (3.9244e+00),4.683e-13,Yes,CEM
Rastrigin,64,10,5.7391e+01 (6.6711e+00),6.5676e+00 (2.7501e+00),7.611e-11,Yes,CEM
Rastrigin,128,10,6.3312e+01 (9.2635e+00),1.7773e+01 (7.3298e+00),1.655e-09,Yes,CEM
Rosenbrock,8,2,5.1460e-01 (1.3650e+00),8.4843e-01 (1.0393e+00),5.671e-01,No,Tie
Rosenbrock,16,2,1.0668e-13 (2.8441e-13),4.3795e-01 (9.4653e-01),1.985e-01,No,Tie
Rosenbrock,32,2,7.4394e-05 (1.7840e-04),4.6528e-03 (1.0611e-02),2.278e-01,No,Tie
Rosenbrock,64,2,8.7612e-02 (9.3242e-02),7.0822e-03 (8.9616e-03),2.932e-02,Yes,CEM
Rosenbrock,128,2,1.0756e-01 (9.1984e-02),4.9186e-02 (7.4243e-02),1.565e-01,No,Tie
Rosenbrock,8,10,5.4990e+03 (1.6147e+04),1.3915e+04 (1.1005e+04),2.148e-01,No,Tie
Rosenbrock,16,10,1.5771e+00 (1.4458e+00),1.1197e+03 (1.4156e+03),4.195e-02,Yes,DE
Rosenbrock,32,10,8.2462e+00 (1.4807e+00),1.4416e+02 (2.0169e+02),7.393e-02,No,Tie
Rosenbrock,64,10,1.1741e+02 (4.5306e+01),2.2263e+01 (2.2807e+01),7.585e-05,Yes,CEM
Rosenbrock,128,10,8.5145e+02 (3.4046e+02),6.7362e+00 (8.6076e-01),3.920e-05,Yes,CEM
Ackley,8,2,5.1789e-09 (1.5537e-08),1.5029e+00 (4.5084e+00),3.434e-01,No,Tie
Ackley,16,2,8.7543e-11 (6.2083e-11),1.1690e-04 (4.9662e-05),5.910e-05,Yes,DE
Ackley,32,2,4.3441e-05 (3.1870e-05),2.2556e-03 (1.2335e-03),4.433e-04,Yes,DE
Ackley,64,2,2.6644e-02 (9.8163e-03),1.3739e-01 (7.1550e-02),1.171e-03,Yes,DE
Ackley,128,2,1.4251e+00 (5.3957e-01),1.7166e+00 (7.7422e-01),3.678e-01,No,Tie
Ackley,8,10,1.1929e+01 (6.0558e+00),1.6098e+01 (2.7229e+00),8.309e-02,No,Tie
Ackley,16,10,3.9847e+00 (7.9693e+00),1.0511e+01 (4.4201e+00),4.959e-02,Yes,DE
Ackley,32,10,1.0740e+00 (1.0394e+00),3.8010e+00 (3.8764e+00),6.804e-02,No,Tie
Ackley,64,10,8.9824e+00 (3.4138e+00),8.6840e-01 (1.4784e+00),2.485e-05,Yes,CEM
Ackley,128,10,1.7333e+01 (1.8163e+00),8.4018e-02 (1.8122e-02),3.923e-10,Yes,CEM
Griewank,8,2,2.8349e-02 (2.8816e-02),2.9460e-02 (1.8610e-02),9.239e-01,No,Tie
Griewank,16,2,9.5344e-03 (8.2673e-03),7.7708e-03 (8.6387e-03),6.634e-01,No,Tie
Griewank,32,2,2.6679e-02 (1.4326e-02),1.3488e-02 (5.5777e-03),2.483e-02,Yes,CEM
Griewank,64,2,3.2814e-02 (2.5036e-02),4.0029e-02 (1.2919e-02),4.555e-01,No,Tie
Griewank,128,2,7.6960e-02 (4.5084e-02),1.3995e-01 (5.4322e-02),1.570e-02,Yes,DE
Griewank,8,10,3.8848e-01 (3.4884e-01),2.2781e+01 (9.8589e+00),7.728e-05,Yes,DE
Griewank,16,10,2.4294e-01 (1.9811e-01),1.4557e+01 (1.0237e+01),2.323e-03,Yes,DE
Griewank,32,10,6.7991e-01 (1.3497e-01),1.2951e+00 (1.4272e+00),2.295e-01,No,Tie
Griewank,64,10,1.7891e+00 (3.1336e-01),3.9534e-03 (6.6365e-03),3.585e-08,Yes,CEM
Griewank,128,10,9.6271e+00 (2.0276e+00),3.4295e-01 (1.0171e-01),2.322e-07,Yes,CEM
